time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-04T13:48:41.191Z,-8.2787,107.8668,42.908,4.4,mb,22,121,0.839,0.77,us,us7000k69c,2023-06-04T14:26:00.040Z,"106 km SSW of Singaparna, Indonesia",earthquake,9.5,8.817,0.13,17,reviewed,us,us
2023-06-04T13:11:10.820Z,19.0515,-64.9716666666667,24.61,3.35,md,19,270,0.6955,0.12,pr,pr71412313,2023-06-04T13:51:41.040Z,"Virgin Islands",earthquake,0.78,9.66,0.0871221512656759,10,reviewed,pr,pr
2023-06-04T12:48:13.940Z,19.7468333333333,-65.7181666666667,38.19,3.44,md,9,307,1.471,0.24,pr,pr71412303,2023-06-04T13:17:08.390Z,"Puerto Rico region",earthquake,2.34,17.25,0.0286937082542891,5,reviewed,pr,pr
2023-06-04T12:14:22.509Z,-25.1558,179.7521,490.621,4.6,mb,48,54,4.585,0.54,us,us7000k691,2023-06-04T12:33:28.040Z,"south of the Fiji Islands",earthquake,12.49,8.016,0.036,238,reviewed,us,us
2023-06-04T11:27:25.487Z,-4.9998,151.4003,124.549,4.2,mb,24,66,1.106,0.38,us,us7000k695,2023-06-05T05:08:34.040Z,"120 km SW of Kokopo, Papua New Guinea",earthquake,9.71,7.356,0.136,15,reviewed,us,us
2023-06-04T10:15:26.085Z,0.4379,120.2208,560.69,4.4,mb,33,96,0.873,0.47,us,us7000k68i,2023-06-04T10:29:11.040Z,"Minahasa, Sulawesi, Indonesia",earthquake,13.12,10.044,0.114,22,reviewed,us,us
2023-06-04T10:09:35.060Z,35.5723333333333,-82.8641666666667,2.9,3.24,md,16,106,0.1056,0.22,se,se60500788,2023-06-05T11:46:51.294Z,"3 km N of West Canton, North Carolina",earthquake,0.66,2.22,0.0555412525618748,12,reviewed,se,se
2023-06-04T08:45:02.714Z,-23.0536,-70.2456,35,4.2,mb,11,184,0.711,0.24,us,us7000k689,2023-06-04T09:07:34.040Z,"21 km ENE of Mejillones, Chile",earthquake,5.87,1.999,0.216,6,reviewed,us,us
2023-06-04T08:34:55.434Z,58.2489,-155.1577,3,3,ml,,,,0.31,ak,ak02374h9o07,2023-06-04T10:29:25.930Z,"86 km NNW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-04T07:50:46.041Z,52.0795,-174.2815,25.5,2.6,ml,,,,0.55,ak,ak02374grn4s,2023-06-04T17:31:07.745Z,"14 km SSW of Atka, Alaska",earthquake,,3.7,,,reviewed,ak,ak
2023-06-04T07:39:41.540Z,40.237999,-121.1536636,0.11,2.58,md,12,103,0.3212,0.21,nc,nc73896781,2023-06-04T23:42:26.600Z,"3km NE of Almanor, CA",earthquake,0.72,15.63,0.13,9,automatic,nc,nc
2023-06-04T07:31:07.600Z,19.5195,-65.7108,102,3.89,md,9,280,1.2665,0.32,pr,pr2023155000,2023-06-04T08:12:49.270Z,"Puerto Rico region",earthquake,4.4,7.57,0.04,6,reviewed,pr,pr
2023-06-04T07:30:42.933Z,-28.4172,-70.8739,67.643,4.1,mb,28,123,0.276,0.92,us,us7000k67y,2023-06-04T08:14:26.040Z,"20 km NNW of Vallenar, Chile",earthquake,5.97,6.059,0.197,7,reviewed,us,us
2023-06-04T07:13:18.303Z,12.6175,48.0078,10,4.6,mb,39,224,5.163,0.56,us,us7000k67w,2023-06-04T08:26:13.040Z,"162 km N of Las Khorey, Somalia",earthquake,14.32,2.003,0.095,33,reviewed,us,us
2023-06-04T07:03:10.170Z,40.2418327,-121.1640015,-1.35,2.97,ml,34,47,0.3257,0.38,nc,nc73896771,2023-06-04T23:38:24.215Z,"3km NNE of Almanor, CA",earthquake,0.57,2.72,0.285,16,automatic,nc,nc
2023-06-04T06:19:37.630Z,18.2091666666667,-68.0196666666667,98.65,3.32,md,11,327,0.5423,0.2,pr,pr71412263,2023-06-04T06:39:49.080Z,"Mona Passage",earthquake,1.93,1.47,0.0592172298041103,7,reviewed,pr,pr
2023-06-04T06:05:25.975Z,-23.5529,-67.7469,118.936,4.7,mwr,72,50,0.718,1.48,us,us7000k67l,2023-06-04T06:28:37.040Z,"84 km SSE of San Pedro de Atacama, Chile",earthquake,4.23,6.679,,,reviewed,us,guc
2023-06-04T05:52:03.710Z,-3.0459,137.3141,48.84,5,mb,76,50,3.426,0.79,us,us7000k67k,2023-06-04T06:12:44.040Z,"204 km E of Nabire, Indonesia",earthquake,7.58,6.755,0.046,152,reviewed,us,us
2023-06-04T04:51:11.751Z,34.1007,46.4222,10,4.5,mb,76,145,1.711,0.52,us,us7000k67c,2023-06-04T05:52:48.289Z,"western Iran",earthquake,8.49,1.901,0.071,58,reviewed,us,us
2023-06-04T04:43:02.890Z,33.1406667,-116.5265,7.72,3.16,ml,114,15,0.0974,0.19,ci,ci40477624,2023-06-05T04:20:24.270Z,"10km NE of Julian, CA",earthquake,0.11,0.61,0.153,128,reviewed,ci,ci
2023-06-04T04:14:47.625Z,14.5405,39.8911,10,4.7,mb,62,78,4.153,0.5,us,us7000k679,2023-06-04T05:56:55.581Z,"54 km ENE of Ādīgrat, Ethiopia",earthquake,11.15,1.88,0.065,73,reviewed,us,us
2023-06-04T03:16:57.335Z,-15.2616,-173.0868,35,5.3,mb,72,67,2.641,1.28,us,us7000k676,2023-06-04T03:36:34.040Z,"107 km NE of Hihifo, Tonga",earthquake,7.44,1.889,0.027,452,reviewed,us,us
2023-06-04T02:41:54.910Z,18.104,-66.0738333333333,66.01,2.81,md,12,119,0.07262,0.21,pr,pr71412253,2023-06-04T18:02:32.889Z,"4 km SE of G. L. Garcia, Puerto Rico",earthquake,1.14,0.97,0.14489876920458,9,reviewed,pr,pr
2023-06-04T01:58:33.391Z,35.7578,140.0571,76.026,4.8,mwr,77,132,1.688,0.77,us,us7000k66v,2023-06-05T05:44:07.073Z,"4 km S of Shiroi, Japan",earthquake,3.65,7.045,0.071,19,reviewed,us,us
2023-06-04T01:46:31.066Z,23.0367,143.0649,61.256,4.6,mb,54,70,10.442,0.82,us,us7000k66t,2023-06-04T02:20:10.056Z,"Volcano Islands, Japan region",earthquake,9.2,7.247,0.071,60,reviewed,us,us
2023-06-04T01:32:18.627Z,64.3237,-153.4208,9.2,2.5,ml,,,,0.4,ak,ak02374d34hy,2023-06-04T02:28:15.040Z,"73 km NW of Lake Minchumina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-04T01:25:04.448Z,-15.1713,-72.9552,9.639,4,mb,17,151,4.048,0.26,us,us7000k66p,2023-06-04T05:28:52.241Z,"5 km WNW of Mungui, Peru",earthquake,8.86,5.29,0.367,2,reviewed,us,us
2023-06-04T00:54:50.509Z,53.592,-163.51,11.646,4.6,mwr,103,94,1.152,0.54,us,us7000k66h,2023-06-04T17:20:08.653Z,"Unimak Island region, Alaska",earthquake,6.45,4.522,0.052,35,reviewed,us,us
